colour	x	y	clickSelects	showSelected1	PANEL	fill
#F8766D	-0.00516478671844891	-0.726806118423457	control.vs.carbon.additions C	control.vs.carbon.additions	1	#F8766D
#F8766D	0.0301634480106078	-6.54248566663885	control.vs.carbon.additions CN	control.vs.carbon.additions	1	#F8766D
#F8766D	0.0686855502540384	-7.18920726048511	control.vs.carbon.additions control	control.vs.carbon.additions	1	#F8766D
#C49A00	0.474737479080674	-9.6910180309802	controls.between.experiments dim	controls.between.experiments	1	#C49A00
#C49A00	0.0658217375880057	-6.87227631166784	controls.between.experiments qme	controls.between.experiments	1	#C49A00
#53B400	-0.0353439881263271	-1.92744531263367	controls.between.sites GL	controls.between.sites	1	#53B400
#53B400	-0.00736464126032375	-0.435040761169619	controls.between.sites MC	controls.between.sites	1	#53B400
#53B400	-0.0253040844770992	-2.37861550630232	controls.between.sites PJ	controls.between.sites	1	#53B400
#53B400	0.0121443949070108	-1.15381309429816	controls.between.sites PP	controls.between.sites	1	#53B400
#53B400	0.809471148855579	-8.14370725322302	controls.between.sites glacier_forefield	controls.between.sites	1	#53B400
#53B400	0.589161231248662	-7.41144878165735	controls.between.sites litchfield_island	controls.between.sites	1	#53B400
#00C094	-0.0403379715896328	-2.94915359453334	dim.C.between.sites GL	dim.C.between.sites	1	#00C094
#00C094	0.043854492320463	-2.70130509170081	dim.C.between.sites MC	dim.C.between.sites	1	#00C094
#00C094	-0.017645922364324	-0.774534162826934	dim.C.between.sites PJ	dim.C.between.sites	1	#00C094
#00C094	0.0510462821522907	-5.94498193074128	dim.C.between.sites PP	dim.C.between.sites	1	#00C094
#00B6EB	-0.0383534848651309	-3.48738522314134	dim.CN.combine.sites GL	dim.CN.combine.sites	1	#00B6EB
#00B6EB	9.19924728980615e-05	-0.00519614663753434	dim.CN.combine.sites MC	dim.CN.combine.sites	1	#00B6EB
#00B6EB	-0.0334475493169105	-3.06607608708861	dim.CN.combine.sites PJ	dim.CN.combine.sites	1	#00B6EB
#00B6EB	-0.0346737335611786	-3.89850226150548	dim.CN.combine.sites PP	dim.CN.combine.sites	1	#00B6EB
#A58AFF	-0.00677132517161283	-0.844964255778535	dim.compare.sites GL	dim.compare.sites	1	#A58AFF
#A58AFF	0.0106157447843253	-2.06484172297401	dim.compare.sites MC	dim.compare.sites	1	#A58AFF
#A58AFF	-0.00131663170589236	-0.115428881141544	dim.compare.sites PJ	dim.compare.sites	1	#A58AFF
#A58AFF	0.0157281955697573	-3.20338555698221	dim.compare.sites PP	dim.compare.sites	1	#A58AFF
#FB61D7	-0.00559643506295067	-0.873830696052463	dim.compare.treatments C	dim.compare.treatments	1	#FB61D7
#FB61D7	0.0240778991083029	-4.14520806633701	dim.compare.treatments CN	dim.compare.treatments	1	#FB61D7
#FB61D7	0.0567665795729587	-4.1345495236894	dim.compare.treatments control	dim.compare.treatments	1	#FB61D7
#F8766D	0.023043692671954	-3.66322399064908	control.vs.carbon.additions C	control.vs.carbon.additions	2	#F8766D
#F8766D	0.118658360503368	-11.0421034974591	control.vs.carbon.additions CN	control.vs.carbon.additions	2	#F8766D
#F8766D	0.138303511307963	-9.62185663820003	control.vs.carbon.additions control	control.vs.carbon.additions	2	#F8766D
#C49A00	0.853922493955515	-10.5905778980001	controls.between.experiments dim	controls.between.experiments	2	#C49A00
#C49A00	0.389194984531823	-11.6126774619317	controls.between.experiments qme	controls.between.experiments	2	#C49A00
#53B400	-0.0255580177199072	-1.35022503638675	controls.between.sites GL	controls.between.sites	2	#53B400
#53B400	0.0147996430301345	-1.07538638020564	controls.between.sites MC	controls.between.sites	2	#53B400
#53B400	-0.00412803566320479	-0.276844284699795	controls.between.sites PJ	controls.between.sites	2	#53B400
#53B400	0.0676199244284346	-5.46910422227341	controls.between.sites PP	controls.between.sites	2	#53B400
#53B400	1.03312164145361	-9.35261137132579	controls.between.sites glacier_forefield	controls.between.sites	2	#53B400
#53B400	0.770805959142326	-8.6194782303475	controls.between.sites litchfield_island	controls.between.sites	2	#53B400
#00C094	-0.0289671214813665	-1.40566878697331	dim.C.between.sites GL	dim.C.between.sites	2	#00C094
#00C094	0.151357025948807	-5.61873364610937	dim.C.between.sites MC	dim.C.between.sites	2	#00C094
#00C094	0.0101749162990868	-0.327775773013154	dim.C.between.sites PJ	dim.C.between.sites	2	#00C094
#00C094	0.134668484959951	-8.09696101953705	dim.C.between.sites PP	dim.C.between.sites	2	#00C094
#00B6EB	-0.0182294636855603	-1.82545849315046	dim.CN.combine.sites GL	dim.CN.combine.sites	2	#00B6EB
#00B6EB	0.0426970691270407	-2.25657811332905	dim.CN.combine.sites MC	dim.CN.combine.sites	2	#00B6EB
#00B6EB	-0.00864097344829351	-0.555133379204323	dim.CN.combine.sites PJ	dim.CN.combine.sites	2	#00B6EB
#00B6EB	-0.00459166892016953	-0.27431967865279	dim.CN.combine.sites PP	dim.CN.combine.sites	2	#00B6EB
#A58AFF	0.0148018643549998	-2.15332723315681	dim.compare.sites GL	dim.compare.sites	2	#A58AFF
#A58AFF	0.0689568919656712	-6.97542387347862	dim.compare.sites MC	dim.compare.sites	2	#A58AFF
#A58AFF	0.0194041857677089	-1.79935031435151	dim.compare.sites PJ	dim.compare.sites	2	#A58AFF
#A58AFF	0.060874727396921	-7.17406577317066	dim.compare.sites PP	dim.compare.sites	2	#A58AFF
#FB61D7	0.0203624717590598	-3.19451535403918	dim.compare.treatments C	dim.compare.treatments	2	#FB61D7
#FB61D7	0.114274150513879	-9.27108819427377	dim.compare.treatments CN	dim.compare.treatments	2	#FB61D7
#FB61D7	0.0904661857119501	-5.56030924672654	dim.compare.treatments control	dim.compare.treatments	2	#FB61D7
